canonical_name	alias	relation	evidence	n_runs	norm_key
Zhonghua 11	ZH11	abbreviation	curated_common_usage	5349	zh11
Kitaake	Kitaake	canonical	mechanical_normalization	62	kitaake
SK1	SK1	canonical	curated_common_usage	47	sk1
Nipponbare	Nipponbare	canonical	curated_common_usage	44	nipponbare
DN416	DN416	canonical	mechanical_normalization	36	dn416
DG1	DG1	canonical	curated_common_usage	31	dg1
NIPB	NIPB	canonical	mechanical_normalization	27	nipb
Samba Mahsuri	Samba Mahsuri	canonical	mechanical_normalization	24	sambamahsuri
Taichung Native 1	Taichung Native 1 (TN1)	abbreviation	curated_common_usage	23	taichungnative1
DN423	DN423	canonical	mechanical_normalization	18	dn423
93-11	9311	abbreviation	curated_common_usage	13	9311
CY927	CY927	canonical	mechanical_normalization	13	cy927
Wanli 1	Wanli 1	canonical	mechanical_normalization	12	wanli1
Y58S	Y58S	canonical	curated_common_usage	12	y58s
Minghui 63	Minghui63	abbreviation	curated_common_usage	11	minghui63
Zhonghua 11	Zhonghua11	abbreviation	curated_common_usage	11	zhonghua11
Dular	Dular	canonical	mechanical_normalization	10	dular
Huanghuazhan	Huanghuazhan	canonical	curated_common_usage	10	huanghuazhan
IR64	IR64 (IRRI)	abbreviation	curated_common_usage	10	ir64
R900	R900	canonical	mechanical_normalization	10	r900
DV85	DV85	canonical	mechanical_normalization	9	dv85
HCS	HCS	canonical	mechanical_normalization	9	hcs
Jia58	Jia58	canonical	mechanical_normalization	9	jia58
LIU XU::IRGC 109232-1	LIU XU::IRGC 109232-1	canonical	mechanical_normalization	9	liuxuirgc1092321
NDCMP49	NDCMP49	canonical	mechanical_normalization	9	ndcmp49
Nipponbare	NPB	abbreviation	curated_common_usage	9	npb
Wuyungeng24	Wuyungeng24	canonical	mechanical_normalization	9	wuyungeng24
Fuhui838	Fuhui838	canonical	mechanical_normalization	8	fuhui838
Liangyoupei9	Liangyoupei9	canonical	mechanical_normalization	8	liangyoupei9
Longdao24	Longdao24	canonical	mechanical_normalization	8	longdao24
N22	N22	canonical	mechanical_normalization	8	n22
PA1	PA1	canonical	mechanical_normalization	7	pa1
SHZ	SHZ	canonical	mechanical_normalization	7	shz
Tetep	Tetep	canonical	mechanical_normalization	7	tetep
Yihui3551	Yihui3551	canonical	mechanical_normalization	7	yihui3551
Chunyou84 (CY84)	Chunyou84 (CY84)	canonical	mechanical_normalization	6	chunyou84
KA1	KA1	canonical	mechanical_normalization	6	ka1
Wushansimiao	Wushansimiao	canonical	mechanical_normalization	6	wushansimiao
illmi	illmi	canonical	mechanical_normalization	6	illmi
BPT-5204	BPT-5204	canonical	mechanical_normalization	5	bpt5204
Clonal CY84	Clonal CY84	canonical	mechanical_normalization	5	clonalcy84
D62	D62	canonical	mechanical_normalization	5	d62
DHX2	DHX2	canonical	mechanical_normalization	5	dhx2
Guang8	Guang8	canonical	mechanical_normalization	5	guang8
Gui630	Gui630	canonical	mechanical_normalization	5	gui630
Huazhan	Huazhan	canonical	mechanical_normalization	5	huazhan
II32	II32	canonical	mechanical_normalization	5	ii32
J4155	J4155	canonical	mechanical_normalization	5	j4155
Longliangyou1353	Longliangyou1353	canonical	mechanical_normalization	5	longliangyou1353
Mianhui725	Mianhui725	canonical	mechanical_normalization	5	mianhui725
Nam Roo	Nam Roo	canonical	mechanical_normalization	5	namroo
Tsipala Menahar	Tsipala Menahar	canonical	mechanical_normalization	5	tsipalamenahar
Tumba	Tumba	canonical	mechanical_normalization	5	tumba
02428	02428	canonical	mechanical_normalization	4	02428
93-11	93-11	canonical	curated_common_usage	4	9311
Balilla	Balilla	canonical	mechanical_normalization	4	balilla
CDR22	CDR22	canonical	mechanical_normalization	4	cdr22
Clonal Fix	Clonal Fix	canonical	mechanical_normalization	4	clonalfix
Cypress	Cypress	canonical	mechanical_normalization	4	cypress
Dobong	Dobong	canonical	mechanical_normalization	4	dobong
Dom	Dom	canonical	mechanical_normalization	4	dom
FL478	FL478	canonical	mechanical_normalization	4	fl478
Kitaake Ubi-Xa21	Kitaake Ubi-Xa21	canonical	mechanical_normalization	4	kitaakeubixa21
Kola Joha	Kola Joha	canonical	mechanical_normalization	4	kolajoha
RD31	RD31	canonical	mechanical_normalization	4	rd31
Shenglixian	Shenglixian	canonical	mechanical_normalization	4	shenglixian
Swarna	Swarna	canonical	mechanical_normalization	4	swarna
YSBR1	YSBR1	canonical	mechanical_normalization	4	ysbr1
Yuetai B	Yuetai B	canonical	mechanical_normalization	4	yuetaib
Zhenshan97	Zhenshan97	canonical	mechanical_normalization	4	zhenshan97
Samba Mahsuri	samba mahsuri	spelling_variant	mechanical_normalization	4	sambamahsuri
32	32	canonical	mechanical_normalization	3	32
91	91	canonical	mechanical_normalization	3	91
BPT-5204	BPT 5204	spelling_variant	mechanical_normalization	3	bpt5204
Badsabhog	Badsabhog	canonical	mechanical_normalization	3	badsabhog
C418	C418	canonical	mechanical_normalization	3	c418
CSSL	CSSL	canonical	mechanical_normalization	3	cssl
Cocodrie	Cocodrie	canonical	mechanical_normalization	3	cocodrie
Digludao	Digludao	canonical	mechanical_normalization	3	digludao
Guangchang13	Guangchang13	canonical	mechanical_normalization	3	guangchang13
Guichao2hao	Guichao2hao	canonical	mechanical_normalization	3	guichao2hao
